Product_ID,Product_name,Description,brand_name,price
101948418,"Giày Cầu Lông, Giày Thể Thao Chạy Bộ Cao Cấp",Giầy Cp085đế cao su thiên nhiên cao cấpMay đế toàn bộ giúp tăng độ bềnÁo giầy là vải lưới kết hợp da PU cao cấpLót giầy ôm chọn gang bàn chânMàu: Trắg XanhSize : 36 đến 43...,Chí Phèo,220000
274191130,"Giày thể thao nam đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn  – BEE GEE - GNA1021","Giày thể thao nam thời trang, ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế da cao cấp mềm dễ chịuSize: 39,40,41,42,43,44Mũi giày ôm theo dáng bàn chân, không gây khó c...",Bee Gee,300000
277387765,"Giày thể thao nam đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn – BEE GEE - GNA2016A","Giày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế da cao cấp mềm, thoáng khíMũi giày ôm theo dáng bàn chân, không gây khó chịu trong lúc di chuyểnĐế giày nhân bản mềm mại , chất liệu  tự nhiê...",Bee Gee,520000
177260009,"Ultra Đôi giày Vải phù hợp chơi thê thao , mẫu giày thiết kế đẹp mắt  nhất năm 2022_2023","  ️Giày đã khâu toàn bộ đế cực kỳ chắc chắn   ️ Đinh dăm bám sân tránh trơn trượt ngay cả khi trời mưa   ️ Lót giầy êm ái giúp cố định chân tốt   ️Đường kim mũi chỉ sắc nét   ️ Tiếp xúc bóng tốt,...",Wika,140000
277287599,"Giày thể thao nam đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn – BEE GEE - GNA2036","Giày thể thao nam thời trang, giày chạy bộ nam ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế da cao cấp mềm, thoáng khíMũi giày ôm theo dáng bàn chân, không gây khó chịu...",Bee Gee,620000
272623870,"Giày thể thao nam đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn – BEE GEE - GNA2011","Giày thể thao nam thời trang, giày chạy bộ nam ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế da cao cấp mềm, thoáng khíMũi giày ôm theo dáng bàn chân, không gây khó chịu...",Bee Gee,540000
277275542,"Giày thể thao nam đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn – BEE GEE - GNA2039","Giày thể thao nam thời trang, giày chạy bộ nam ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế da cao cấp mềm, thoáng khíMũi giày ôm theo dáng bàn chân, không gây khó chịu...",Bee Gee,570000
276181491,"Giày thể thao nam đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn – BEE GEE - GNA2026","Giày thể thao nam thời trang, giày chạy bộ nam ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế vải cao cấp mềm, thoáng khíMũi giày ôm theo dáng bàn chân, không gây khó chị...",Bee Gee,420000
276181289,"Giày thể thao nam đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn – BEE GEE - GNA2029","Giày thể thao nam thời trang, giày chạy bộ nam ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế vải cao cấp mềm, thoáng khíMũi giày ôm theo dáng bàn chân, không gây khó chị...",Bee Gee,390000
161383198,Giày  Thể Thao Nam Biti's DSM074500DEN (Đen),"Giày Bata Vải kiểu dáng đơn giản nhưng thời trang, mang lại sự thoải mái và tự tin cho bạn suốt ngày dài. Thiết kế cao cấp, bền chắc, mang lại nhẹ nhàng, êm ái cho bàn chân. Giày với thiết kế khỏe kho...",Biti's,365000
275825501,Giày Thể Thao Nam Biti's BSM000701 Siêu Nhẹ,"Bộ đế LiteFlex 2.0- Chất liệu IP ""nhẹ như bay"" chỉ từ 204g- Độ đàn hồi > 40%- Lớp cao su tăng ma sát Đế lót kháng khuẩn cùng công nghệ 6 điểm giúp Massage lòng bàn chân Mũ quai vải dệt cải tiến ...",Biti's,480000
276030362,"Giày thể thao nam đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn  – BEE GEE - GNA2032","Giày thể thao nam thời trang, giày chạy bộ nam ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế da cao cấp mềm, thoáng khí        Size: 40,41,42,43,44,45Màu: TrắngMũi già...",Bee Gee,540000
208789602,"Giày Thể Thao Nam Limenco L6054 Màu Đen Vàng, Đế Phylon Êm Nhẹ, Đi Chơi, Thể Thao","LIMENCO - Với những thiết kế kiểu dáng thời trang truyền thống cùng gam màu hiện đại, dễ dàng phối với nhiều trang phục để có phong cách thời trang trẻ trung, năng động và ấn tượng trong mọi hoạt động...",LimenCo,649000
