itemID,name,image,rating_score,review_count,location,seller_name,brand_name,price,original_price,item_sold_count,in_stock,itemURL
2502612049,laptop chính hãng 15.6 Inch N5095/Intel Core i7 Laptop Windows Pro Notebook 16G/12G RAM 128G-2TB PC Gamer Computer FHD IPS Display USB 3.0 Webcam Dual Band WiFi,https://vn-live-01.slatic.net/p/8a57eac4b2e15da9465adb35092b9fb7.jpg,5.0,9,Hồ Chí Minh,Laptop computer,OEM,8999999,9999999,15 Đã bán,True,https://www.lazada.vn//www.lazada.vn/products/laptop-chinh-hang-156-inch-n5095intel-core-i7-laptop-windows-pro-notebook-16g12g-ram-128g-2tb-pc-gamer-computer-fhd-ips-display-usb-30-webcam-dual-band-wifi-i2502612049.html
2922580332,"Laptop 2 in 1 Surface GOl Ram 8GB l SSD 128GB l Màn 3K Touch  Mới 90-95% chính hãng MÀU ĐEN Surface Go máy tính 2 in 1 chính hãng hàng nhập từ Nhật Bản khung hợp kim nhôm  cảm ứng mượt mà, hiển thị sắc nét",https://vn-live-01.slatic.net/p/52619da71ad08264d5cf327f4434b207.jpg,,,Kiên Giang,Surfacelab,Microsoft,2500000,,,True,https://www.lazada.vn//www.lazada.vn/products/laptop-2-in-1-surface-gol-ram-8gb-l-ssd-128gb-l-man-3k-touch-moi-90-95-chinh-hang-mau-den-surface-go-may-tinh-2-in-1-chinh-hang-hang-nhap-tu-nhat-ban-khung-hop-kim-nhom-cam-ung-muot-ma-hien-thi-sac-net-i2922580332.html
2010094116,"Laptop Dell Latitude 7410 Core i5 gen 10, Ram 16GB, SSD 256GB",https://vn-live-01.slatic.net/p/1f6c36aa273bf20ad06a8ae3c2090b13.png,5.0,32,Nam Định,Trai Đẹp Bán Laptop,Dell,8300000,,107 Đã bán,True,https://www.lazada.vn//www.lazada.vn/products/laptop-dell-latitude-7410-core-i5-gen-10-ram-16gb-ssd-256gb-i2010094116.html
2393705925,Lenovo Thinkpad X1 Carbon Gen 5 i7 Core i7-7600U/ Ram 16GB/ SSD 256GB/ FHD,https://vn-live-01.slatic.net/p/2f553805b726574c0a14fed085c4502f.jpg,5.0,6,Hà Nội,ÂU CƠ COMPUTER,TOMKO,6500000,9000000,13 Đã bán,True,https://www.lazada.vn//www.lazada.vn/products/lenovo-thinkpad-x1-carbon-gen-5-i7-core-i7-7600u-ram-16gb-ssd-256gb-fhd-i2393705925.html
2146937201,"THINKPAD X230 CORE I5 3230M RAM 8GB SSD 256GB 12.5INCH /SẠC, CHUỘT/TÚI",https://vn-live-01.slatic.net/p/2ad5275c004f57c9b6ffbff387f82285.jpg,5.0,2,Hồ Chí Minh,Laptop Cường Thịnh,Lenovo,2816000,5500000,5 Đã bán,True,https://www.lazada.vn//www.lazada.vn/products/thinkpad-x230-core-i5-3230m-ram-8gb-ssd-256gb-125inch-sac-chuottui-i2146937201.html
2624439677,LAPTOP MINI THINKPAD X270 CORE I5 6300U RAM 8G SSD 256G 12.5INCH,https://vn-live-01.slatic.net/p/f80cfb0b27bc8e64c1ba0e1eef99d5a4.jpg,5.0,0,Hồ Chí Minh,Laptop Cường Thịnh,Lenovo ThinkPad,3200500,6800000,12 Đã bán,True,https://www.lazada.vn//www.lazada.vn/products/laptop-mini-thinkpad-x270-core-i5-6300u-ram-8g-ssd-256g-125inch-i2624439677.html
251075553,"LAPTOP HP 4540S I5 , Ram 4GB , HDD 1000GB HÀNG NHẬP KHẨU JAPAN SIÊU BỀN tặng chuột và balo",https://vn-live-01.slatic.net/p/8d45161ee8781bf4c803459340bfb181.jpg,4.6,5,Hà Nội,laptop nhập US-UK,No Brand,1857000,,7 Đã bán,True,https://www.lazada.vn//www.lazada.vn/products/laptop-hp-4540s-i5-ram-4gb-hdd-1000gb-hang-nhap-khau-japan-sieu-ben-tang-chuot-va-balo-i251075553.html
2010098033,"Máy tính Laptop Dell Latitude 7320 Core i5-1145G7, Ram 16, SSD 256 FHD IPS",https://vn-live-01.slatic.net/p/d29bd05a1f2e5a7b0223b0c7c4f9a8aa.png,5.0,33,Nam Định,Trai Đẹp Bán Laptop,Dell,9000000,,128 Đã bán,True,https://www.lazada.vn//www.lazada.vn/products/may-tinh-laptop-dell-latitude-7320-core-i5-1145g7-ram-16-ssd-256-fhd-ips-i2010098033.html
2403355302,Laptop Dell Latitude E7400 Core i5 8265U Ram 8G SSD 256G Màn hình 14” Full HD,https://filebroker-cdn.lazada.vn/kf/S9014951966504435ae45317d62b6a38f6.jpg,,,Hồ Chí Minh,MinhTuan Com,No Brand,6950000,,,True,https://www.lazada.vn//www.lazada.vn/products/laptop-dell-latitude-e7400-core-i5-8265u-ram-8g-ssd-256g-man-hinh-14-full-hd-i2403355302.html
2937277905,"Laptop HP Probook 450 G6 Core i5-8265U, 16gb ram, 512gb SSD màn hình 15.6inch Full HD vỏ nhôm bạc sang trọng hàng Nhật xịn",https://filebroker-cdn.lazada.vn/kf/Sf7636adb0e944f46bf358bc7f11e17c7b.jpg,,,Hưng Yên,KHOA DUC COMPUTER,HP,4900000,,,True,https://www.lazada.vn//www.lazada.vn/products/laptop-hp-probook-450-g6-core-i5-8265u-16gb-ram-512gb-ssd-man-hinh-156inch-full-hd-vo-nhom-bac-sang-trong-hang-nhat-xin-i2937277905.html
