title,price,discount_percent,sold,brand,link
Điện thoại Tecno SPARK GO 1 ( 4GB - 64GB) - Hàng Chính Hãng,2.050.000₫,-18%,33,TECNO,https://tiki.vn/tecno-spark-go-1-4gb-64gb-hang-chinh-hang-p276166741.html?spid=276166857
Điện Thoại Khúc Khích,104.000₫,-20%,47,DUKA,https://tiki.vn/dien-thoai-khuc-khich-p107018282.html?spid=109405782
Điện thoại Samsung Galaxy A05s (4GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,2.690.000₫,-32%,614,SAMSUNG,https://tiki.vn//tka.tiki.vn/pixel/pixel?data=jOOlzAQf4Owbcic9iXNefcmcN7nZNoxZR-pn99NfAb3fxcTlXT0Vfi0-n4cKQjzlzWJ6NoNL-48rmc9QRVzBXP2euABNwER4F9kplXiHAuW-GGdG2jYHzDNGyMUIAANeB7NXJL8e3QMH2w29Q3vsQUlVsfLA1R4L-p8bSaVtRa02gUTCMpa0PNJBy6QffFNa_3vzFlQKzU3s3AeOlMGVr994DYBtf2__OcrlOcx67wGdm5VcT1QL_VqQLG_YRTwzYmeq0IF49ECUr44RTWd5m2TSrlL1ELpg8Lk87XX3xQXH4SBoQVi7oR9nDfJJOiU2T5LLD8WZ2rBQFFHfBbxGgLHEMO5RUdsBBKl9RLChKL-FzFQ1Zsyn74cyzJ0ARQwB5EmF0miaoFCzAI1MW8Mrlg2cuADziknaN6x2TOI5PciKu1QK6n9QIjumcKHraN7ygCimiWr_lgna4DxrxjOmFWFm1Kx1q52IxoP3Q_lIzgWNKO2n9q_gJSooME7EuKvJvjRCI5wlB7ikbGNOIQ0z_cFc0hg4BLBOd7iyc2pShnFVAYFdnepnc2Y_fZmzPnnjAD_3s0w5hhxJPlLFrJPR8tQRE4WrGVlJIR0VPzHQG13ep4kRc7E_H8WBy8iGmyLmtbDSNB3IKFV2CEMmdFeVtNV9lTeLPiC0NvuRfrWF0T21DQXdQ4_tuiIM9UVPoMHx14l_Y0wJqg--qCF6VRWyfWGPX-tZXvlC0dBAFrGoQ-KuLavFk9oCVYzM18liNHbIV3UbFH2ay-SK6IY_i3VUmpvjZMFBoGZVwcoSLKhjosk_p_kY7fNojauB5jgfRCtMAtYION43BqNICDYVjQHTA2E4ksDtwQXKiSKfcLK3NE-zXbK3s3KnEihO-q9lcFN85cN38I9Q1xrDHj9k_9HEb5Vsson2JxNxB0QthmjxgErs9wTb2o14z5hKvYnOLqkKySq-h-e3bIf16gWcj-OGuq5Z62j9tJMpW7VDmWOhMNAmPPC5z8BsRy3vEEdBACKvdiYfuOWJqxvmOgClixXy-hiPqizT_omcGVrHLkEFb7P54RjgduvRSqMmscGEtqIFL4-Utzf9mhk5rnegWqcWlgG5lnh5CYS2zdraUg&reqid=kmfKpF4WTh8CiwCu&type=CLICK&pos=13
Điện Thoại Samsung Galaxy A25 5G (6GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng Chính Hãng,4.990.000₫,-17%,164,SAMSUNG,https://tiki.vn//tka.tiki.vn/pixel/pixel?data=jTwwSwp-hdzfijor4MAKCuu8Xjcpv6FnFe7k0Kr-OX-U-mEV7sHi0-XbJ1EtaCOixHI5zayHuy1zPGNUGXXBr97K85XVSVDUv_uTmOdvz663PXIRMXs2FmgvJsvqWYwr3wL3_1VbGMtaUdBWmf4eYU9_JmC4GPo9POa_cobKU_Y6Aeh2QVg3mocBGDW3F_BJGCIpGMwdxSiVqv8gOIMeWdvK3aRzO1rEEUa-kIZnZBC8GpGe_zcSgR3IjMjn-YzsgIXsjiT2AC4J5Lfc-xlPzT81v7cXF233ireV5vaZmNolapz9nJZK8p5NRxqlJz9a0qhe9hIxyrUyrdZv0kIlEc8DnF5EvHXWkDFlvKVLtls17oMdeDdzztCu_NaAxzkxDv5ToUjm_VMpeRcy7xmOhlvBoYWrPK7G5i0nPJ6raAZh1T2SktYQzqugyRbJ97Y__Pbn5cvTVOCv9MN0XF430tUKQ6yS53EcEYiko2n5a8kWfBSk_Tc0t13e_PFzM3K852YLrDWeWa5Rh5jbWZNMlOKNzPmH_gxeiKI0D3-3sYx_pXXq6-07OHQ2FmCHes-q0UAPRKTheRK4ZcZVLGXAV3XLcopJOkFLrSFnJ325qcMnLi7PIeLio-8jEeM-RC1LFDHNZBqi2CvQBLqWGY9JPU3nFo-lllNxdF2sepofyj_gkQ2OgPS2sHfntKV3aa1uxYTQ5bXuxzSA1NId9tNYBUWVpj_LUmnd9FtModCErhIm9A4sI5DqWRmpFKZxBexe8ILhTFqbqqeZ4THGhfJ_qWAmsdmOx9ajP0OZpkOr5fakqlfcHF2Ic8kpmzuNW311YZieqG6BFrOEUk2FlSVw6-3EFbEoLV57OGpMlNvoVnmpIchheINlv-vgF2vGTKwp83pL31ao0maUSYpjkT3oOyowBKFU-YeTmSkvSsuEXUaRFsZEyURDOdzwSzkqeAtRYmJtJSKMmqrVDgAUrErn7LJdFhVSppL8bDSSCCbQSj06iFoOG4pFBcm9_lR2csShwaKtuUpyh8uGN5kQhoFHEKlAUGfWf0eLud9e0yfjIAV4F5KaXwRW70EspUOX3aBfuG7hLEcH0YPotAemGvRj3Z800OPipgHAV6NBK0DcAos&reqid=kmfKpF4WTh8CiwCu&type=CLICK&pos=14
Điện Thoại Samsung Galaxy A16 LTE (4GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng Chính Hãng,3.850.000₫,-24%,86,SAMSUNG,https://tiki.vn//tka.tiki.vn/pixel/pixel?data=cRKe4sx_gkee7yWLsGqs_vGw78Je6-h2QJbjFJl3XwzIYN92mvWDCi_ezi-BXOfhuo3pcLdACuHUNdu_rqzpT0pxA0zNBh4kdyfgehDSdqh6-XgDBHRjTkBsqN6yJ5Y0HZnGutqkWLW8Mof7IiZju6IUUICwFJrrpSCBi950uEt_k06bGNqZObL2EO_KEmaNxPrWo4Sngf8bPGeYM_0ll8qGzI96ZB8caK1XbX3qjnzBaM-ev1oA1xcEBDyiGbx4g982tffJHJ3HvfoDRgY0eWzmkevVH1vHkkzs7Z9Fushrs5XT-BjAO3_hMtvGRAWXCOfItvJBcubD4kKhlsY8OUEiCgvrlxGOPglvdOtj83q8yIH6x6lln6r0tbqI_HmjtiSBJ4s1goiA3Y2ZiS_2s4rRGLEQkw5RH6N2z9tPFIRKlnLHIGV9pONr9o-IQjsHSVfLiXUWsxZ-3P29_3GIQSMMOqZ_QBtChkujZ_8_xx5pXEhJBlBs79SFc3jlrf-bWYxTwimJAqhnmltonYaF-Wy_jwbc4lPeB_sUk9B0zVkv7etf4hmDC2Vbsuov5hCMM-klRZ4sNfZPKTts5ygUfoFHlgWLNcaroZ5ODYz_8rkunugEVZm7WbdtGMxdqCDN4H1L2YrvARUqFHL-AoTBpxon5hCR4eLaqmwJ3d_eqFrVOWOCrVRK4DNCt8TOEncFU-YVhsZYFCv0l1nD-I4s7XeGB7-ceq81CK0u_y-CuyTLgUns05R6z5Om2ox9U9CjrOcluG-LL5mXqrl2oT7V8D1mAfJSNjj_6sFgRAj9naj-YrZ4nzAofhKP6fpARVcpm4HUCuvCs1kyd2cc7pnwHX6Ja5h9LDRCFr2wxrcPCk79zKfuxYGO1Gl9Qw6kLZzEDTeetXKBgF4jbi7GwBW_7T8aqgNaqO8JmEigmkv_NuhiQ5qhzJ_Nf1cMmIGnzxvhmE2rIvXmZeWYlc213M9qI7p0Q3czs0COSsPTPNGQYmWfMLq5Q6ouz911XZwmaLA-NsiUL6AmhHaQlHeuWGTK3OQVDuuz4cVRwDL_joi4tnnzu3xbBWOEnavgRfFY8ZPK9fBlTp8qA09QNKh4YK4dmAMA9rI7D6QjdwjgYz8x&reqid=kmfKpF4WTh8CiwCu&type=CLICK&pos=15
"Điện thoại AI Samsung Galaxy S24 Ultra 12GB/512GB, Camera 200MP Zoom 100x, S Pen- Đen- Hàng Chính Hãng",25.490.000₫,-15%,1328,SAMSUNG,https://tiki.vn//tka.tiki.vn/pixel/pixel?data=lfjxRUBsGfPXoAxz0vtNZwLK9-NCkUv_4j-VAmMIHKtyX1OYnQizMbiDx65X1hsInLS3Vo1T84VZbIpzCNxuZmrkLB0wwTQzJAXSH05e1DKkS1dnVqNRxa9jA2ad76EvyfWjvvwvg_wuJBMH1G_deeGhxfwwFhlqJg11yOjRYCGZ_af7EfRMp5kytYkoJvii-jAJr_DSlgWOF_UCxh9xvK1y7-dlxHN0u1e-7K36Nh8KpfJKbLZ_9Gz5-1BYPFwuIIdKfsA2YiKJmSyEA4lftc9WVsI30w8C3tnoQCmcFVhPQpKHAFiwGumMJfznO4cUtShxe_bPA4BJVxW1rEqaSogObMKuglmmXsBMGfJm0DDyQStrW0AngL7A8trObiMkq9O2QLYbFa1317RqM7gxCMMn3M8bnBDbrJbaGBsU71C6B1Dyugo3giSktXlkupmDV5yF0uhYWTxY9ctkY-atYl9zl_jcxoUHpcQvg4n70p6htHGJCWGarqWr-fkGz-pO1QqG-OyTb_7Zgwj8y1pEa57RflP82EiAa8A5lz9J_QsgD8NJt0Pl08I9XSdrCALhzjjKM0G4dhw43FXUIY1icXUklrnqPrzdLF-kJXdNb96yUrsy_cxEfDakKXFEvt2gT9dFO_bn-OKdG5lKcWLwogjtk8Z-6UCsO7C-hs-sZkzG3hJ5GZaZlzUasnDgIGF5lHTKWIDxvBXirVL6FNB_QYdYPjhsa4JRXap1GlHANcyCsj2NiAy1kk8yqSipbP0nrQMQEoEGMp2x9lyxc2VKTsEpWNF9CO6Z6zo_ZePw49JAZqor7ZsgqmBFxBC_xHu_ufwQYocZ12p3zlKxKd0htgpQsyPqlL25_8VamjI6gxqIi9F6zhqTxgttbEg1APIOJa2CvGiK-eQtWicYMASgjyGXiSNMOjoasuwxWBKzPhCoCPx_l4Tf1jJAUa6W04Os7bGkLD61pt5cl3IulBjaFdXID_vdkFwFTbW1vrNX8MFVOvZ_xuz_2EOtYDjAFnlUSkHIGK4EPXmtgtlwhk85xwBJoiWYAcKzfPEi00vuqrx1RscF9vSBsWpHumuWakRY5Bf3sl41bCcr36V1-88hJ8UJCvq5Vr7bbCagtqGOYJPxuRc&reqid=kmfKpF4WTh8CiwCu&type=CLICK&pos=16
Điện thoại HMD 105 4G - Hàng chính hãng,739.000₫,-13%,3,NOKIA,https://tiki.vn/dien-thoai-hmd-105-4g-hang-chinh-hang-p276246838.html?spid=276246844
Điện thoại Mobell F209 - Hàng Chính Hãng,620.000₫,Không có giảm giá,Không có thông tin bán,MOBELL,https://tiki.vn/dien-thoai-mobell-f209-hang-chinh-hang-p275776431.html?spid=275776437
điện thoại  IP622C - hàng chính hãng,1.650.000₫,Không có giảm giá,Không có thông tin bán,FLYINGVOICE,https://tiki.vn/dien-thoai-ip622c-hang-chinh-hang-p29440849.html?spid=29440850
Điện Thoại IP Phone Fanvil X1S - Hàng Chính Hãng,950.000₫,Không có giảm giá,Không có thông tin bán,FANVIL,https://tiki.vn/dien-thoai-ip-phone-fanvil-x1s-hang-chinh-hang-p53380152.html?spid=68169992
